dpr_id,project_title,department,region,duration,estimated_cost,fund_allocation,contingency,start_date,end_date,num_employees,state,district,risk_zone,guidelines_followed,risk_label,recommendation_type,recommendation_description,recommendation_priority,contingency_ratio,duration_months,num_machinery,num_materials,compliance_score,missing_docs_count
DPR_0000,Infrastructure Development Project 204,Road Construction Department,Region 6,35 months,₹110 crore,₹228 crore,₹20 crore,03-02-2024,10-07-2029,36,Mizoram,Guwahati,None,TRUE,None,General Improvement,Project appears well-structured with minimal risks,Low,0.181818182,35,2,2,1,0
DPR_0001,Infrastructure Development Project 385,Water Resources Department,Region 1,35 months,₹65 crore,₹331 crore,₹11 crore,25-09-2025,22-02-2028,61,Assam,Dispur,Flood,TRUE,Environmental,Risk Mitigation,Area prone to landslide — require mitigation planning,High,0.169230769,35,3,2,1,0
DPR_0002,Infrastructure Development Project 894,Urban Development Department,Region 3,32 months,₹248 crore,₹234 crore,₹15 crore,12-02-2026,26-05-2029,39,Manipur,Kohima,Connectivity,TRUE,Environmental,Risk Mitigation,Area prone to flood — require mitigation planning,High,0.060483871,32,4,2,1,0
DPR_0003,Infrastructure Development Project 883,Rural Development Department,Region 8,33 months,₹270 crore,₹311 crore,₹7 crore,07-01-2025,15-04-2027,163,Manipur,Itanagar,None,FALSE,Cost Overrun,Budget Rebalance,Increase contingency budget by 10%,High,0.025925926,33,2,2,0,0
DPR_0004,Infrastructure Development Project 491,Road Construction Department,Region 9,7 months,₹295 crore,₹116 crore,₹19 crore,09-02-2026,10-12-2027,32,Manipur,Dispur,Landslide,FALSE,Delay,Timeline Adjustment,Timeline too short — extend by 3 months,High,0.06440678,7,5,3,0,0
DPR_0005,Infrastructure Development Project 244,Road Construction Department,Region 3,31 months,₹144 crore,₹66 crore,₹18 crore,13-04-2026,23-05-2029,60,Arunachal Pradesh,Agartala,Connectivity,TRUE,Environmental,Risk Mitigation,Area prone to flood — require mitigation planning,High,0.125,31,2,2,1,0
DPR_0006,Infrastructure Development Project 190,Urban Development Department,Region 4,32 months,₹300 crore,₹137 crore,₹12 crore,08-08-2026,05-04-2027,176,Tripura,Itanagar,Flood,TRUE,Environmental,Risk Mitigation,Area prone to flood — require mitigation planning,High,0.04,32,5,4,1,0
DPR_0007,Infrastructure Development Project 965,Water Resources Department,Region 6,8 months,₹67 crore,₹246 crore,₹11 crore,23-04-2025,18-12-2027,95,Tripura,Shillong,Connectivity,FALSE,Delay,Timeline Adjustment,Timeline too short — extend by 3 months,High,0.164179104,8,4,2,0,0
DPR_0008,Infrastructure Development Project 568,Rural Development Department,Region 5,7 months,₹302 crore,₹254 crore,₹12 crore,04-03-2025,03-01-2029,167,Sikkim,Agartala,Connectivity,TRUE,Delay,Timeline Adjustment,Timeline too short — extend by 3 months,High,0.039735099,7,5,5,1,0
DPR_0009,Infrastructure Development Project 602,Urban Development Department,Region 7,8 months,₹192 crore,₹386 crore,₹4 crore,02-04-2025,18-04-2029,119,Mizoram,Itanagar,Landslide,TRUE,Cost Overrun,Budget Rebalance,Increase contingency budget by 10%,High,0.020833333,8,2,2,1,0
DPR_0010,Infrastructure Development Project 906,Rural Development Department,Region 4,15 months,₹125 crore,₹199 crore,₹11 crore,18-08-2024,04-01-2027,121,Meghalaya,Shillong,Connectivity,FALSE,Environmental,Risk Mitigation,Area prone to landslide — require mitigation planning,High,0.088,15,5,2,0,0
DPR_0011,Infrastructure Development Project 741,Public Works Department,Region 9,16 months,₹271 crore,₹212 crore,₹6 crore,08-08-2025,13-03-2029,178,Sikkim,Shillong,Connectivity,FALSE,Cost Overrun,Budget Rebalance,Increase contingency budget by 10%,High,0.022140221,16,2,5,0,1
DPR_0012,Infrastructure Development Project 402,Urban Development Department,Region 9,36 months,₹489 crore,₹208 crore,₹15 crore,22-10-2024,02-08-2027,31,Assam,Guwahati,Landslide,TRUE,Environmental,Risk Mitigation,Area prone to landslide — require mitigation planning,High,0.030674847,36,3,2,1,0
DPR_0013,Infrastructure Development Project 994,Public Works Department,Region 8,29 months,₹408 crore,₹190 crore,₹15 crore,09-07-2026,22-06-2027,73,Arunachal Pradesh,Agartala,Flood,TRUE,Environmental,Risk Mitigation,Area prone to flood — require mitigation planning,High,0.036764706,29,3,2,1,0
DPR_0014,Infrastructure Development Project 179,Rural Development Department,Region 10,21 months,₹416 crore,₹244 crore,₹16 crore,11-03-2025,24-06-2028,113,Sikkim,Guwahati,Connectivity,TRUE,Cost Overrun,Budget Rebalance,Increase contingency budget by 10%,High,0.038461538,21,5,4,1,0
DPR_0015,Infrastructure Development Project 531,Rural Development Department,Region 3,22 months,₹96 crore,₹256 crore,₹9 crore,16-03-2026,05-07-2028,43,Nagaland,Itanagar,None,FALSE,None,General Improvement,Project appears well-structured with minimal risks,Low,0.09375,22,4,5,0,0
DPR_0016,Infrastructure Development Project 125,Public Works Department,Region 5,22 months,₹465 crore,₹232 crore,₹8 crore,02-11-2026,08-03-2028,176,Assam,Aizawl,Flood,TRUE,Environmental,Risk Mitigation,Area prone to flood — require mitigation planning,High,0.017204301,22,3,4,1,0
DPR_0017,Infrastructure Development Project 827,Rural Development Department,Region 2,15 months,₹276 crore,₹99 crore,₹14 crore,21-08-2025,24-08-2029,107,Manipur,Shillong,Landslide,TRUE,Environmental,Risk Mitigation,Area prone to flood — require mitigation planning,High,0.050724638,15,2,5,1,0
DPR_0018,Infrastructure Development Project 717,Water Resources Department,Region 5,18 months,₹281 crore,₹240 crore,₹11 crore,06-07-2025,17-08-2028,142,Meghalaya,Shillong,Flood,TRUE,Cost Overrun,Budget Rebalance,Increase contingency budget by 10%,High,0.039145907,18,2,4,1,0
DPR_0019,Infrastructure Development Project 913,Road Construction Department,Region 4,21 months,₹273 crore,₹105 crore,₹2 crore,08-05-2024,15-03-2027,128,Meghalaya,Imphal,Connectivity,TRUE,Cost Overrun,Budget Rebalance,Increase contingency budget by 10%,High,0.007326007,21,5,2,1,0
DPR_0020,Infrastructure Development Project 520,Water Resources Department,Region 8,31 months,₹56 crore,₹342 crore,₹12 crore,02-11-2026,10-05-2027,185,Assam,Dispur,None,TRUE,None,General Improvement,Project appears well-structured with minimal risks,Low,0.214285714,31,2,5,1,2
DPR_0021,Infrastructure Development Project 269,Public Works Department,Region 2,23 months,₹486 crore,₹191 crore,₹18 crore,28-01-2026,13-11-2027,186,Sikkim,Itanagar,Connectivity,TRUE,Cost Overrun,Budget Rebalance,Increase contingency budget by 10%,High,0.037037037,23,5,3,1,0
DPR_0022,Infrastructure Development Project 459,Public Works Department,Region 6,35 months,₹292 crore,₹364 crore,₹8 crore,23-06-2026,22-07-2027,123,Manipur,Imphal,Connectivity,TRUE,Cost Overrun,Budget Rebalance,Increase contingency budget by 10%,High,0.02739726,35,4,4,1,0
DPR_0023,Infrastructure Development Project 701,Rural Development Department,Region 6,18 months,₹100 crore,₹404 crore,₹11 crore,18-08-2026,21-05-2028,131,Tripura,Imphal,Landslide,FALSE,Environmental,Risk Mitigation,Area prone to landslide — require mitigation planning,High,0.11,18,2,2,0,0
DPR_0024,Infrastructure Development Project 607,Urban Development Department,Region 6,7 months,₹341 crore,₹210 crore,₹20 crore,27-10-2024,22-07-2029,122,Meghalaya,Shillong,Flood,FALSE,Delay,Timeline Adjustment,Timeline too short — extend by 3 months,High,0.058651026,7,4,5,0,1
DPR_0025,Infrastructure Development Project 476,Rural Development Department,Region 5,16 months,₹366 crore,₹115 crore,₹4 crore,17-08-2024,17-09-2029,110,Assam,Agartala,Flood,FALSE,Cost Overrun,Budget Rebalance,Increase contingency budget by 10%,High,0.010928962,16,5,2,0,0
DPR_0026,Infrastructure Development Project 619,Water Resources Department,Region 3,15 months,₹373 crore,₹432 crore,₹4 crore,17-02-2025,27-10-2028,122,Tripura,Gangtok,Connectivity,TRUE,Environmental,Risk Mitigation,Area prone to flood — require mitigation planning,High,0.010723861,15,5,5,1,0
DPR_0027,Infrastructure Development Project 996,Road Construction Department,Region 7,20 months,₹102 crore,₹168 crore,₹4 crore,18-01-2025,17-07-2029,30,Tripura,Imphal,Flood,TRUE,Cost Overrun,Budget Rebalance,Increase contingency budget by 10%,High,0.039215686,20,2,4,1,0
DPR_0028,Infrastructure Development Project 753,Water Resources Department,Region 3,24 months,₹377 crore,₹185 crore,₹8 crore,20-04-2024,02-02-2027,16,Sikkim,Guwahati,Connectivity,FALSE,Environmental,Risk Mitigation,Area prone to flood — require mitigation planning,High,0.021220159,24,3,4,0,0
DPR_0029,Infrastructure Development Project 340,Road Construction Department,Region 5,8 months,₹282 crore,₹301 crore,₹15 crore,12-01-2026,25-09-2027,167,Assam,Aizawl,Connectivity,FALSE,Environmental,Risk Mitigation,Area prone to landslide — require mitigation planning,High,0.053191489,8,4,2,0,0
DPR_0030,Infrastructure Development Project 261,Public Works Department,Region 6,33 months,₹87 crore,₹67 crore,₹14 crore,15-05-2026,27-12-2028,153,Sikkim,Kohima,Landslide,FALSE,Environmental,Risk Mitigation,Area prone to flood — require mitigation planning,High,0.16091954,33,2,2,0,0
